,context,question,answer
230,"On 9 March 2016, The Sun's front page proclaimed that Queen Elizabeth II was backing ""Brexit"", a common term for a British withdrawal from the European Union. It claimed that in 2011 at Windsor Castle, while having lunch with Deputy Prime Minister Nick Clegg, the monarch criticised the union. Clegg denied that the Queen made such a statement, and a Buckingham Palace spokesperson confirmed that a complaint had been made to the Independent Press Standards Organisation over a breach of guidelines relating to accuracy.","['What is an often used term for British withdrawal from the European Union?', 'Who did The Sun say was in favor of British withdrawal from the European Union?', 'Where was Queen Elizabeth II said to have made critical remarks about the European Union?', 'Who refuted the statement that the Queen was critical of the European Union?', 'With whom was a complaint lodged alleging breach of guidelines in accuracy after the incident involving Queen Elizabeth II?']","['Brexit', 'Queen Elizabeth II', 'Windsor Castle', 'Deputy Prime Minister Nick Clegg', 'Independent Press Standards Organisation']"
231,"During the celebration, theaters called tablados are built in many places throughout the cities, especially in Montevideo. Traditionally formed by men and now starting to be open to women, the different Carnival groups (Murgas, Lubolos or Parodistas) perform a kind of popular opera at the tablados, singing and dancing songs that generally relate to the social and political situation. The 'Calls' groups, basically formed by drummers playing the tamboril, perform candombe rhythmic figures. Revelers wear their festival clothing. Each group has its own theme. Women wearing elegant, bright dresses are called vedettes and provide a sensual touch to parades.","['What are built in many places through the cities?', 'What do the different Carnival groups perform together?', 'What do the topics of the shows put on at the tablados typically relate to?', 'What type of rhythmic figures are performed by the drummers playing the tamboril?', 'What sort of touch do the vedettes provide to the parades?']","['tablados', 'opera', 'the social and political situation', 'candombe', 'sensual']"
232,"The first legislation providing federal authority for regulating pesticides was enacted in 1910; however, decades later during the 1940s manufacturers began to produce large amounts of synthetic pesticides and their use became widespread. Some sources consider the 1940s and 1950s to have been the start of the ""pesticide era."" Although the U.S. Environmental Protection Agency was established in 1970 and amendments to the pesticide law in 1972, pesticide use has increased 50-fold since 1950 and 2.3 million tonnes (2.5 million short tons) of industrial pesticides are now[when?] used each year. Seventy-five percent of all pesticides in the world are used in developed countries, but use in developing countries is increasing. A study of USA pesticide use trends through 1997 was published in 2003 by the National Science Foundation's Center for Integrated Pest Management.","['When were laws first created to regulate pesticides?', 'What might someone knowledgable about the history of pesticides call ther period of the 1940s and 1950s?', 'When did America establish the Environmental Protection Agency?', 'Countries which are established use what amount of pesticides?', 'Trends about use of pesticides have been published from which country?']","['1910', 'pesticide era', '1970', 'Seventy-five percent', 'USA']"
233,"The University of Bath and Bath Spa University are higher education establishments in the north-east of the county. The University of Bath gained its Royal Charter in 1966, although its origins go back to the Bristol Trade School (founded 1856) and Bath School of Pharmacy (founded 1907). It has a purpose-built campus at Claverton on the outskirts of Bath, and has 15,000 students. Bath Spa University, which is based at Newton St Loe, achieved university status in 2005, and has origins including the Bath Academy of Art (founded 1898), Bath Teacher Training College, and the Bath College of Higher Education. It has several campuses and 5,500 students.","['Bath school of pharmacy founded in ', 'When did Bath Spa Gain University status', 'When did the university of Bath gain royal charter ', 'What University are in Bath ']","['Bath School of Pharmacy (founded 1907', 'achieved university status in 2005', 'The University of Bath gained its Royal Charter in 1966, although its origins go back to the Bristol Trade School', 'The University of Bath and Bath Spa University are higher education establishments in the north-east of the county']"
234,"Yale University, one of the oldest universities in the United States, is a cultural referent as an institution that produces some of the most elite members of society and its grounds, alumni, and students have been prominently portrayed in fiction and U.S. popular culture. For example, Owen Johnson's novel, Stover at Yale, follows the college career of Dink Stover and Frank Merriwell, the model for all later juvenile sports fiction, plays football, baseball, crew, and track at Yale while solving mysteries and righting wrongs. Yale University also is featured in F. Scott Fitzgerald's novel ""The Great Gatsby"". The narrator, Nick Carraway, wrote a series of editorials for the Yale News, and Tom Buchanan was ""one of the most powerful ends that ever played football"" for Yale.","['Who were the main characters in Stover at Yale?', 'What F. Scott Fitzgerald novel is Yale a part of?', 'What character in The Great Gatsby wrote editorials for the Yale News?', 'What football playing character in The Great Gatsby played for Yale?', 'Who wrote the novel Stover at Yale?']","['Dink Stover and Frank Merriwell', 'The Great Gatsby', 'Nick Carraway', 'Tom Buchanan', 'Owen Johnson']"
235,"The changes brought about by these developments have led many scholars to view this period as the end of the Middle Ages and beginning of modern history and early modern Europe. However, the division is somewhat artificial, since ancient learning was never entirely absent from European society. As a result there was developmental continuity between the ancient age (via classical antiquity) and the modern age. Some historians, particularly in Italy, prefer not to speak of the late Middle Ages at all, but rather see the high period of the Middle Ages transitioning to the Renaissance and the modern era.","['Historians from what country in particular do not refer to the Late Middle Ages?', 'What provided developmental continuity between the ancient and modern ages?', 'What period do Italian historians believe came immediately after the High Period of the Middle Ages?', 'What do many scholars regard the Late Middle Ages as the beginning of?']","['Italy', 'classical antiquity', 'the Renaissance', 'modern history and early modern Europe']"
236,"WPXD channel 31, an affiliate of the ION Television network, is licensed to the city. WHTV channel 18, a MyNetworkTV-affiliated station for the Lansing market, broadcasts from a transmitter in Lyndon Township, west of Ann Arbor. Community Television Network (CTN) is a city-provided cable television channel with production facilities open to city residents and nonprofit organizations. Detroit and Toledo-area radio and television stations also serve Ann Arbor, and stations from Lansing and Windsor, Ontario, can be heard in parts of the area.","['WPXD channel 31 is an affliate of which TV network?', 'What is the abbreviation of CTN?']","['ION', 'Community Television Network']"
237,"In France, simultaneously, the towering figure of the Gothic Revival was Eugène Viollet-le-Duc, who outdid historical Gothic constructions to create a Gothic as it ought to have been, notably at the fortified city of Carcassonne in the south of France and in some richly fortified keeps for industrial magnates. Viollet-le-Duc compiled and coordinated an Encyclopédie médiévale that was a rich repertory his contemporaries mined for architectural details. He effected vigorous restoration of crumbling detail of French cathedrals, including the Abbey of Saint-Denis and famously at Notre Dame de Paris, where many of whose most ""Gothic"" gargoyles are Viollet-le-Duc's. He taught a generation of reform-Gothic designers and showed how to apply Gothic style to modern structural materials, especially cast iron.","['Who was the main figure of the Gothic Revival in France?', 'What famous French cathedral was restored and reconstructed by Viollet-le-Duc?', 'What modern building material did Viollet-le-Duc teach reform Gothic designers to work with?', 'In what fortified city in Southern France did Viollet-le-Duc recreate historical Gothic constructions?', 'What other famous French cathedral did Viollet-le-Duc work on?']","['Eugène Viollet-le-Duc', 'the Abbey of Saint-Denis', 'cast iron', 'Carcassonne', 'Notre Dame de Paris']"
238,"The poets generally associated with Cubism are Guillaume Apollinaire, Blaise Cendrars, Jean Cocteau, Max Jacob, André Salmon and Pierre Reverdy. As American poet Kenneth Rexroth explains, Cubism in poetry ""is the conscious, deliberate dissociation and recombination of elements into a new artistic entity made self-sufficient by its rigorous architecture. This is quite different from the free association of the Surrealists and the combination of unconscious utterance and political nihilism of Dada."" Nonetheless, the Cubist poets' influence on both Cubism and the later movements of Dada and Surrealism was profound; Louis Aragon, founding member of Surrealism, said that for Breton, Soupault, Éluard and himself, Reverdy was ""our immediate elder, the exemplary poet."" Though not as well remembered as the Cubist painters, these poets continue to influence and inspire; American poets John Ashbery and Ron Padgett have recently produced new translations of Reverdy's work. Wallace Stevens' ""Thirteen Ways of Looking at a Blackbird"" is also said to demonstrate how cubism's multiple perspectives can be translated into poetry.","['Which poets are closely alligned with Cubism?', 'What is the name of the american Poet who is associated with talking about the rigiorous architecture of Cubism?', ""Which two American poets have recently created new traslations of Reverdy's work?"", ""What is the name of Wallace Steven's work that explains how cubism can be translated into poetry? ""]","['Guillaume Apollinaire, Blaise Cendrars, Jean Cocteau, Max Jacob, André Salmon and Pierre Reverdy', 'Kenneth Rexroth', 'John Ashbery and Ron Padgett', 'Thirteen Ways of Looking at a Blackbird']"
239,"A pair of overlapping political perspectives arising toward the end of the 20th century are republicanism (or neo- or civic-republicanism) and the capability approach. The resurgent republican movement aims to provide an alternate definition of liberty from Isaiah Berlin's positive and negative forms of liberty, namely ""liberty as non-domination."" Unlike liberals who understand liberty as ""non-interference,"" ""non-domination"" entails individuals not being subject to the arbitrary will of anyother person. To a liberal, a slave who is not interfered with may be free, yet to a republican the mere status as a slave, regardless of how that slave is treated, is objectionable. Prominent republicans include historian Quentin Skinner, jurist Cass Sunstein, and political philosopher Philip Pettit. The capability approach, pioneered by economists Mahbub ul Haq and Amartya Sen and further developed by legal scholar Martha Nussbaum, understands freedom under allied lines: the real-world ability to act. Both the capability approach and republicanism treat choice as something which must be resourced. In other words, it is not enough to be legally able to do something, but to have the real option of doing it.","['When did republicanism and the capability approach arise?', ""What aims to provide an alternate definition of liberty from Isaiah Berlin's positive and negative forms of liberty?"", 'Mahbub ul Haq and Amartya Sen pioneered what approach?']","['the end of the 20th century', 'The resurgent republican movement', 'The capability approach']"
240,"In 1906, precipitation hardening alloys were discovered by Alfred Wilm. Precipitation hardening alloys, such as certain alloys of aluminium, titanium, and copper, are heat-treatable alloys that soften when quenched (cooled quickly), and then harden over time. After quenching a ternary alloy of aluminium, copper, and magnesium, Wilm discovered that the alloy increased in hardness when left to age at room temperature. Although an explanation for the phenomenon was not provided until 1919, duralumin was one of the first ""age hardening"" alloys to be used, and was soon followed by many others. Because they often exhibit a combination of high strength and low weight, these alloys became widely used in many forms of industry, including the construction of modern aircraft.","['Who discovered precipitation hardening alloys?', 'When were precipitation hardening alloys discovered?', 'What happens to precipitation hardening alloys after they quenched?', 'One of the first ""age hardening"" alloys used were called?', 'What was used in the construction of modern aircraft?']","['Alfred Wilm', '1906', 'harden over time', 'duralumin', 'duralumin']"
241,"There are no railways, waterways, ports or harbours on the island. Loading jetties are located at Kingston and Cascade, but ships cannot get close to either of them. When a supply ship arrives, it is emptied by whaleboats towed by launches, five tonnes at a time. Which jetty is used depends on the prevailing weather on the day. The jetty on the leeward side of the island is often used. If the wind changes significantly during unloading/loading, the ship will move around to the other side. Visitors often gather to watch the activity when a supply ship arrives.","['Where are loading jetties found on Norfolk Island?', 'How is a supply ship unloaded when it reaches Norfolk Island? ', ""What determines the jetty that's used by supply ships to Norfolk Island?"", 'Where can you find the often-used jetty on Norfolk Island?', 'Who can usually be found watching supply ships unload at Norfolk Island?']","['Kingston and Cascade', 'by whaleboats towed by launches', 'the prevailing weather on the day', 'on the leeward side of the island', 'Visitors']"
242,"Burke's religious writing comprises published works and commentary on the subject of religion. Burke's religious thought was grounded in the belief that religion is the foundation of civil society. He sharply criticised deism and atheism, and emphasised Christianity as a vehicle of social progress. Born in Ireland to a Catholic mother and a Protestant father, Burke vigorously defended the Anglican Church, but also demonstrated sensitivity to Catholic concerns. He linked the conservation of a state (established) religion with the preservation of citizens' constitutional liberties and highlighted Christianity's benefit not only to the believer's soul, but also to political arrangements.","['Which church did Burke most defend?', 'What did Burke think was the foundation of society?', ""What religion was Burke's mother?"", ""What religion was Burke's father?"", 'Burke thought religion was beneficial to what besides souls?']","['Anglican', 'religion', 'Catholic', 'Protestant', 'political arrangements']"
243,"Rugby league is mostly played by Samoans living in New Zealand and Australia,[citation needed] with Samoa reaching the quarter finals of the 2013 Rugby League World Cup made of players playing in the NRL, Super League and domestic players. Many Samoans and New Zealanders or Australians of Samoan descent play in the Super League and National Leagues in Britain. Francis Meli, Ta'ane Lavulavu of Workington Town, Maurie Fa'asavalu of St Helens and David Fatialofa of Whitehaven and Setima Sa who signed with London Irish rugby club. Other noteworthy players from NZ and Australia have represented the Samoan National team. The 2011 domestic Samoan rugby league competition contained 10 teams with plans to expand to 12 in 2012.","['In what competition did the Samoan rugby team reach the quarter finals in 2013?', 'Apart from Australia, in what country other than Samoa might Samoan rugby players live?', 'What Samoan rugby player signed to London Irish rugby club?', 'How many teams played in the 2011 domestic Samoan rugby league competition?', ""What rugby club did Maurie Fa'asavalu play for?""]","['Rugby League World Cup', 'New Zealand', 'Setima Sa', '10', 'St Helens']"
244,"Paul VI did renounce many traditional symbols of the papacy and the Catholic Church; some of his changes to the papal dress were reversed by Pope Benedict XVI in the early 21st century. Refusing a Vatican army of colourful military uniforms from centuries, he got rid of them. He became the first pope to visit five continents. Paul VI systematically continued and completed the efforts of his predecessors, to turn the Euro-centric Church into a Church of the world, by integrating the bishops from all continents in its government and in the Synods which he convened. His 6 August 1967 motu proprio Pro Comperto Sane opened the Roman Curia to the bishops of the world. Until then, only Cardinals could be leading members of the Curia.","['What type of theatrical uniforms did Paul VI eradicate from the Vatican?', 'Who was the first pope to visit five continents?', 'Where did Paul Vi turn the focus of the church toward during his papacy?', 'What group of clergy did Paul VI include in Vatican decision making that had previously been denied influence in this realm?', 'What papal statement under Paul VI opened the Vatican doors to global influences?']","['army', 'Paul VI', 'world', 'bishops', 'motu proprio Pro Comperto Sane']"
245,"In the words of Labour Member of Parliament George Hardie, the abdication crisis of 1936 did ""more for republicanism than fifty years of propaganda"". George VI wrote to his brother Edward that in the aftermath of the abdication he had reluctantly assumed ""a rocking throne"", and tried ""to make it steady again"". He became king at a point when public faith in the monarchy was at a low ebb. During his reign his people endured the hardships of war, and imperial power was eroded. However, as a dutiful family man and by showing personal courage, he succeeded in restoring the popularity of the monarchy.","['How high was public faith in the monarchy when King George assumed the throne?', 'What position did George Hardie hold?', ""Who was George VI's brother?""]","['low', 'Labour Member of Parliament', 'Edward']"
246,"An electrostatic motor is based on the attraction and repulsion of electric charge. Usually, electrostatic motors are the dual of conventional coil-based motors. They typically require a high-voltage power supply, although very small motors employ lower voltages. Conventional electric motors instead employ magnetic attraction and repulsion, and require high current at low voltages. In the 1750s, the first electrostatic motors were developed by Benjamin Franklin and Andrew Gordon. Today the electrostatic motor finds frequent use in micro-electro-mechanical systems (MEMS) where their drive voltages are below 100 volts, and where moving, charged plates are far easier to fabricate than coils and iron cores. Also, the molecular machinery which runs living cells is often based on linear and rotary electrostatic motors.[citation needed]","['What type of motor is based on the attraction and repulsion of electric charge?', 'What are electrostatic motors like two of?', 'What type of power supply do electrostatic motors usually have?', 'What two inventors developed the first electrostatic motors?', 'Micro-electro mechanical systems prefer what type of motor?']","['electrostatic', 'conventional coil-based motors', 'high-voltage', 'Benjamin Franklin and Andrew Gordon', 'electrostatic motor']"
247,"The most popular alcoholic drink in Switzerland is wine. Switzerland is notable for the variety of grapes grown because of the large variations in terroirs, with their specific mixes of soil, air, altitude and light. Swiss wine is produced mainly in Valais, Vaud (Lavaux), Geneva and Ticino, with a small majority of white wines. Vineyards have been cultivated in Switzerland since the Roman era, even though certain traces can be found of a more ancient origin. The most widespread varieties are the Chasselas (called Fendant in Valais) and Pinot noir. The Merlot is the main variety produced in Ticino.","['What is the most popular alcoholic drink in Switzerland?', 'When were vineyards first cultivated in Switzerland?', 'What type of wine comprises a small majority of wine produced in Switzerland?', 'What are the two most widespread varieties of wines in Switzerland?', ""What 4 terrain variations are credited for Switzerland's notable variety of grapes grown?""]","['wine', 'Roman era', 'white', 'Chasselas (called Fendant in Valais) and Pinot noir', 'specific mixes of soil, air, altitude and light']"
248,"Malian musical traditions are derived from the griots, who are known as ""Keepers of Memories"". Malian music is diverse and has several different genres. Some famous Malian influences in music are kora virtuoso musician Toumani Diabaté, the late roots and blues guitarist Ali Farka Touré, the Tuareg band Tinariwen, and several Afro-pop artists such as Salif Keita, the duo Amadou et Mariam, Oumou Sangare, and Habib Koité. Dance also plays a large role in Malian culture. Dance parties are common events among friends, and traditional mask dances are performed at ceremonial events.","['What is the translation or meaning of a griot?', 'Aside from music what other activity plays a significant role in culture?', 'What type of garment or accessory is traditionally worn at some of the dances held?', 'What is the name of the musician that was a part of the roots and was also a blues guitarist?', 'What is a well known Afro-pop artist?']","['Keepers of Memories', 'Dance', 'mask', 'Ali Farka Touré', 'Salif Keita']"
249,"Instead of being defined by ""non"" words, some organizations are suggesting new, positive-sounding terminology to describe the sector. The term ""civil society organization"" (CSO) has been used by a growing number of organizations, such as the Center for the Study of Global Governance. The term ""citizen sector organization"" (CSO) has also been advocated to describe the sector – as one of citizens, for citizens – by organizations such as Ashoka: Innovators for the Public. A more broadly applicable term, ""Social Benefit Organization"" (SBO) has been advocated for by organizations such as MiniDonations. Advocates argue that these terms describe the sector in its own terms, without relying on terminology used for the government or business sectors. However, use of terminology by a nonprofit of self-descriptive language that is not legally compliant risks confusing the public about nonprofit abilities, capabilities and limitations.","['What type of language has it been suggested that NPOs should begin to get away from?', 'What type of language are organizations being directed towards?', 'What is a new term for NPOs that has started to see more use?', 'What is a term being used for organizations that are for the citizens, by the citizens?', 'What would a group like Crowdfund, GoFundMe or Kickstarter possibly belong to?']","['""non"" words', 'new, positive-sounding terminology', 'civil society organization', 'citizen sector organization', 'Social Benefit Organization']"
250,"Raleigh is also served by Triangle Transit (known formerly as the Triangle Transit Authority, or TTA). Triangle Transit offers scheduled, fixed-route regional and commuter bus service between Raleigh and the region's other principal cities of Durham, Cary and Chapel Hill, as well as to and from the Raleigh-Durham International Airport, Research Triangle Park and several of the region's larger suburban communities. Triangle Transit also coordinates an extensive vanpool and rideshare program that serves the region's larger employers and commute destinations.","['What was Triangle Transit called before?', 'What does Triangle Transit offer?', 'Where else does Triangle Transit go to?', 'Does Triangle Transit have a van service?', 'Are employers connected with Triangle Transit?']","['Triangle Transit Authority,', 'scheduled, fixed-route regional and commuter bus service', 'Raleigh-Durham International Airport, Research Triangle Park', 'Triangle Transit also coordinates an extensive vanpool', ""rideshare program that serves the region's larger employers""]"
251,"As mentioned, lifestyle- and obesity-related diseases are becoming increasingly prevalent all around the world. There is little doubt that the increasingly widespread application of some modern food processing technologies has contributed to this development. The food processing industry is a major part of modern economy, and as such it is influential in political decisions (e.g., nutritional recommendations, agricultural subsidising). In any known profit-driven economy, health considerations are hardly a priority; effective production of cheap foods with a long shelf-life is more the trend. In general, whole, fresh foods have a relatively short shelf-life and are less profitable to produce and sell than are more processed foods. Thus, the consumer is left with the choice between more expensive, but nutritionally superior, whole, fresh foods, and cheap, usually nutritionally inferior, processed foods. Because processed foods are often cheaper, more convenient (in both purchasing, storage, and preparation), and more available, the consumption of nutritionally inferior foods has been increasing throughout the world along with many nutrition-related health complications.","['What is undoubtedly a cause of the increase in obesity related diseases that are becoming prevalent?', 'Aside from agricultural subsidizing, what else does the food processing industry influence in terms of political decisions?', 'What is perceived as the general priority of the food processing industry in this sort of economy?', 'The more expensive fresh foods have what nutritional value in relation to processed food?', 'Other than being cheaper, what is another main draw of processed foods?']","['widespread application of some modern food processing technologies', 'nutritional recommendations', 'effective production of cheap foods with a long shelf-life', 'superior', 'more convenient']"
252,"The Crimean War also saw the first tactical use of railways and other modern inventions, such as the electric telegraph, with the first ""live"" war reporting to The Times by William Howard Russell. Some credit Russell with prompting the resignation of the sitting British government through his reporting of the lacklustre condition of British forces deployed in Crimea. Additionally, the telegraph reduced the independence of British overseas possessions from their commanders in London due to such rapid communications. Newspaper readership informed public opinion in the United Kingdom and France as never before. It was the first European war to be photographed.","['The tactical use of railways was first used during what war?', 'Who gave the first live war report?', 'Due to his reporting skills, some give Russell credit for doing what?', 'What reduced the independence of British overseas possessions from their commanders in London?', 'What was the first European war to be photographed?']","['The Crimean War', 'William Howard Russell', 'prompting the resignation of the sitting British government', 'the telegraph', 'The Crimean War']"
253,"A literary technique or literary device can be used by authors in order to enhance the written framework of a piece of literature, and produce specific effects. Literary techniques encompass a wide range of approaches to crafting a work: whether a work is narrated in first-person or from another perspective, whether to use a traditional linear narrative or a nonlinear narrative, or the choice of literary genre, are all examples of literary technique. They may indicate to a reader that there is a familiar structure and presentation to a work, such as a conventional murder-mystery novel; or, the author may choose to experiment with their technique to surprise the reader.","['Literary devices are employed for what reason?', 'What is one form of narration in literature?', 'What are two types of narrative structure in literature?', 'Why would an author utilize experimental narratives in literature?', 'In what type of writing would a more familiar, standard literary narrative structure be employed?']","['produce specific effects', 'first-person', 'linear narrative or a nonlinear narrative', 'to surprise the reader', 'a conventional murder-mystery novel']"
254,"The Logic and Metaphysics have been extensively reprinted, the latter, e.g., at Venice in 1493, 1495, and 1546. Some of his shorter essays on medicine, logic, etc., take a poetical form (the poem on logic was published by Schmoelders in 1836).[citation needed] Two encyclopaedic treatises, dealing with philosophy, are often mentioned. The larger, Al-Shifa' (Sanatio), exists nearly complete in manuscript in the Bodleian Library and elsewhere; part of it on the De Anima appeared at Pavia (1490) as the Liber Sextus Naturalium, and the long account of Ibn Sina's philosophy given by Muhammad al-Shahrastani seems to be mainly an analysis, and in many places a reproduction, of the Al-Shifa'. A shorter form of the work is known as the An-najat (Liberatio). The Latin editions of part of these works have been modified by the corrections which the monastic editors confess that they applied. There is also a حكمت مشرقيه (hikmat-al-mashriqqiyya, in Latin Philosophia Orientalis), mentioned by Roger Bacon, the majority of which is lost in antiquity, which according to Averroes was pantheistic in tone.","[""Who published Avicenna's poem on logic?"", ""What is the name of Avicenna's larger encyclopedic treatise? "", ""Where is Avicenna's Al-Shifa manuscript located?"", 'What is the shorter form of Al-Shifa called?', ""What two subjects of Avicenna's have been reprinted extensively?""]","['Schmoelders', ""Al-Shifa'"", 'the Bodleian Library', 'the An-najat', 'Logic and Metaphysics']"
255,"Although most of the simplified Chinese characters in use today are the result of the works moderated by the government of the People's Republic of China in the 1950s and 60s, character simplification predates the republic's formation in 1949. One of the earliest proponents of character simplification was Lufei Kui, who proposed in 1909 that simplified characters should be used in education. In the years following the May Fourth Movement in 1919, many anti-imperialist Chinese intellectuals sought ways to modernise China. In the 1930s and 1940s, discussions on character simplification took place within the Kuomintang government, and many Chinese intellectuals and writers have long maintained that character simplification would help boost literacy in China. In many world languages, literacy has been promoted as a justification for spelling reforms. The People's Republic of China issued its first round of official character simplifications in two documents, the first in 1956 and the second in 1964. In the 1950s and 1960s, while confusion about simplified characters was still rampant, transitional characters that mixed simplified parts with yet-to-be simplified parts of characters together appeared briefly, then disappeared.","['What has been promoted as a justification for spelling reforms?', ""Character simplification predated the republic's formation in what year?"", 'Who issued the first round of official characters?']","['literacy', '1949', ""The People's Republic of China""]"
256,"Bermuda has developed a proud Rugby Union community. The Bermuda Rugby Union team won the 2011 Caribbean championships, defeating Guyana in the final. They previously beat The Bahamas and Mexico to take the crown. Rugby 7's is also played, with four rounds scheduled to take place in the 2011–2012 season. The Bermuda 7's team competed in the 2011 Las Vegas 7's, defeating the Mexican team. There are four clubs on the island: (1) Police (2) Mariners (3) Teachers (4) Renegades. There is a men's and women's competition–current league champions are Police (Men) (winning the title for the first time since the 1990s) and Renegades (women's). Games are currently played at Warwick Academy. Bermuda u/19 team won the 2010 Caribbean Championships.","['Who won the 2011 Caribbean championships?', 'How many clubs are on the island?', 'Who are the reigning league champions?', ""Where are the Women's games played?"", 'What did the Bermuda u/19 team win?']","['The Bermuda Rugby Union team', 'There are four clubs on the island', 'Police (Men)', 'Warwick Academy.', '2010 Caribbean Championships']"
257,"Nigeria's human rights record remains poor; According to the US Department of State, the most significant human rights problems are: use of excessive force by security forces; impunity for abuses by security forces; arbitrary arrests; prolonged pretrial detention; judicial corruption and executive influence on the judiciary; rape, torture and other cruel, inhuman or degrading treatment of prisoners, detainees and suspects; harsh and life‑threatening prison and detention centre conditions; human trafficking for the purpose of prostitution and forced labour; societal violence and vigilante killings; child labour, child abuse and child sexual exploitation; female genital mutilation (FGM); domestic violence; discrimination based on sex, ethnicity, region and religion.","['How are Nigerian prisoners mistreated?', 'What are the conditions like in Nigerian prisons?', 'How are children mistreated in Nigeria?', 'What types of discrimination are common in Nigeria?']","['rape, torture and other cruel, inhuman or degrading treatment', 'harsh and life‑threatening', 'child labour, child abuse and child sexual exploitation', 'sex, ethnicity, region and religion']"
258,"Utrecht is home to the premier league (professional) football club FC Utrecht, which plays in Stadium Nieuw Galgenwaard. It is also the home of Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members), SV Kampong. Kampong features fieldhockey, soccer, cricket, tennis, squash and jeu de boules. Kampong's men and women top hockey squads play in the highest Dutch hockey league, the Rabohoofdklasse.Utrecht is also home to the baseball and Sofball club: UVV which plays in the highest Dutch baseball league: de Hoofdklasse. Utrecht's waterways are used by several rowing clubs. Viking is a large club open to the general public, and the student clubs Orca and Triton compete in the Varsity each year.","['What football team is Utrecht home to', 'What Utrecht waterways host to ', 'What is kampong ', 'What sports does Kampong support ']","['Utrecht is home to the premier league (professional) football club FC Utrecht', ""Utrecht's waterways are used by several rowing clubs"", 'Kampong, the largest (amateur) sportsclub in the Netherlands (4,500 members)', 'Kampong features fieldhockey, soccer, cricket, tennis, squash and jeu de boules.']"
259,"He invited a Roman Catholic priest, Father Anselm Strittmatter, O.S.B., to visit him for consultation. Von Neumann reportedly said in explanation that Pascal had a point, referring to Pascal's Wager. Father Strittmatter administered the last sacraments to him. Some of von Neumann's friends (such as Abraham Pais and Oskar Morgenstern) said they had always believed him to be ""completely agnostic."" ""Of this deathbed conversion, Morgenstern told Heims, ""He was of course completely agnostic all his life, and then he suddenly turned Catholic—it doesn't agree with anything whatsoever in his attitude, outlook and thinking when he was healthy."" Father Strittmatter recalled that von Neumann did not receive much peace or comfort from it, as he still remained terrified of death.","['Who administered the last sacrament to von Neumann?', 'Did the last sacrament ease von Neumann?', ""Was there conflict of faith and beliefs at the end of von NEumann's life?"", ""What did Oskar Morgenstern feel about von Neumann's beliefs?""]","['Father Strittmatter', 'did not receive much peace or comfort from it, as he still remained terrified of death', ""he suddenly turned Catholic—it doesn't agree with anything whatsoever in his attitude, outlook and thinking when he was healthy"", 'always believed him to be ""completely agnostic.""']"
260,"Some critics of Stalin's policy, such as the popular writer Viktor Suvorov, claim that Stalin's primary motive for signing the Soviet–German non-aggression treaty was his calculation that such a pact could result in a conflict between the capitalist countries of Western Europe.[citation needed] This idea is supported by Albert L. Weeks.[page needed] Claims by Suvorov that Stalin planned to invade Germany in 1941 are debated by historians with, for example, David Glantz opposing such claims, while Mikhail Meltyukhov supports them.[citation needed] The authors of The Black Book of Communism consider the pact a crime against peace and a ""conspiracy to conduct war of aggression.""","['Who was skeptical of Stalin’s policies?', 'What is the claim the pact promoted, purported by the The Black Book of Communism?', 'Who doesn’t believe that Joseph Stalin had plans to invade Germany?']","['Viktor Suvorov', 'a ""conspiracy to conduct war of aggression.""', 'David Glantz']"
261,"Capacitors may catastrophically fail when subjected to voltages or currents beyond their rating, or as they reach their normal end of life. Dielectric or metal interconnection failures may create arcing that vaporizes the dielectric fluid, resulting in case bulging, rupture, or even an explosion. Capacitors used in RF or sustained high-current applications can overheat, especially in the center of the capacitor rolls. Capacitors used within high-energy capacitor banks can violently explode when a short in one capacitor causes sudden dumping of energy stored in the rest of the bank into the failing unit. High voltage vacuum capacitors can generate soft X-rays even during normal operation. Proper containment, fusing, and preventive maintenance can help to minimize these hazards.","['What could cause the failure of a capacitor?', 'What can happen to capacitors used in high current applications?', 'What can happen to capacitors used in high energy capacitor banks?', 'What type of capacitors can generate soft x-rays?', 'What is one way to help minimize capacitor dangers?']","['when subjected to voltages or currents beyond their rating', 'overheat', 'violently explode', 'High voltage vacuum capacitors', 'preventive maintenance']"
262,"Further studies, e.g. Jerome Ravetz 1971 Scientific Knowledge and its Social Problems referred to the role of the scientific community, as a social construct, in accepting or rejecting (objective) scientific knowledge. The Science wars of the 1990 were about the influence of especially French philosophers, which denied the objectivity of science in general or seemed to do so. They described as well differences between the idealized model of a pure science and the actual scientific practice; while scientism, a revival of the positivism approach, saw in precise measurement and rigorous calculation the basis for finally settling enduring metaphysical and moral controversies. However, more recently some of the leading critical theorists have recognized that their postmodern deconstructions have at times been counter-productive, and are providing intellectual ammunition for reactionary interests. Bruno Latour noted that ""dangerous extremists are using the very same argument of social construction to destroy hard-won evidence that could save our lives. Was I wrong to participate in the invention of this field known as science studies? Is it enough to say that we did not really mean what we meant?""","['What did Scientific Knowledge and its Social Problems describe the scientific community as?', 'What was the era called when scientists were rejecting the notion of objectivity of science?', 'What was positivism called after it was revived?', 'What did scientism aim to do?']","['a social construct', 'The Science wars', 'scientism', 'settling enduring metaphysical and moral controversies']"
